Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Magnitude,Depth
2024,9,12,23,47,19,35.46,128.43,2.6,16
2024,9,12,23,49,35,35.46,128.43,1.4,14
2024,9,12,23,57,36,35.47,128.42,1.2,14
